-
4415279,55,12.641342,23.394823,43
-
5253685,56,14.434761,26.620789,42
2021382,56,5.740389,28.153198,42
969356,52,2.656097,27.416488,36
7170013,52,20.477627,23.383736,30
2618503,50,7.253492,24.424523,32
313211,46,0.831367,21.503714,32
-
3525006,57,9.745909,28.750544,43
32334,45,0.092734,26.236208,35
831333,46,2.311676,19.507479,36
-
-
909219,42,2.622408,18.651622,24
-
1267588,55,3.326145,27.259433,43
154092,46,0.388324,22.987150,36
1995813,52,5.421353,24.572979,36
5668025,54,15.520524,26.403395,34
-
1398857,49,3.701399,24.277053,33
4691710,54,12.614542,26.312234,34
6227205,52,17.334509,24.700272,32
-
-
909442,52,2.435776,27.872710,36
3917549,54,10.795504,26.119066,38
215990,47,0.559492,24.840169,35
192534,50,0.483055,28.164810,38
-
-
2063117,52,5.664377,25.982463,36
4626661,55,12.585618,26.974809,39
2309697,52,6.255826,25.791491,36
-
827864,53,2.175981,28.710055,41
1118025,49,3.040721,24.280758,35
6540243,54,18.462433,26.380557,36
5727374,54,15.847054,26.121909,36
48447,42,0.121572,23.300039,30
7332466,64,19.842697,33.052826,48
2731989,50,7.517411,24.607501,32
539196,51,1.421971,27.316122,39
1430455,49,3.832111,22.917919,35
179689,47,0.502084,25.475309,35
119535,49,0.305472,25.168521,39
-
4399444,53,12.183731,25.099392,39
3031922,56,8.423601,28.074825,44
-
-
7221615,56,20.520273,27.820720,40
152123,41,0.386434,20.696139,29
-
484048,50,1.314050,26.117385,36
506538,51,1.340598,25.545294,37
-
-
508957,45,1.388391,21.727099,31
1828847,57,4.981918,29.084569,43
-
5622335,51,15.525928,23.618298,31
920623,47,2.563041,22.622819,31
-
8430894,50,23.815651,23.921401,28
5471060,51,15.364924,25.117996,31
4579005,53,12.684378,25.342840,37
8179227,52,23.027241,24.664403,30
557862,44,1.508744,20.630122,30
-
188717,49,0.483636,23.873066,37
1373939,56,3.662138,28.771618,46
3440513,48,9.755784,22.060243,30
7622602,57,21.482838,27.729741,41
2184110,54,5.886461,27.597980,34
619299,53,1.626898,27.380697,41
68633,42,0.183666,21.781103,28
3951356,57,10.991081,26.913583,43
744209,53,2.075009,28.051743,39
-
1900358,49,5.284220,24.127775,31
-
158355,44,0.407023,20.888586,32
195222,45,0.506334,22.290463,35
4681483,52,12.863281,25.962040,34
-
3559259,54,9.915833,26.461863,38
820923,50,2.220810,26.079187,36
-
-
438960,46,1.204162,20.965217,34
276325,53,0.709196,27.766560,45
751475,50,2.030893,25.063400,34
1263033,49,3.581763,22.922221,35
191601,44,0.547552,21.267765,32
9499694,54,26.744759,25.127289,34
5342754,57,14.419940,28.762484,39
4484857,54,12.485773,25.170228,38
